t_adx,t_cci,x_thr,t_max,r_max,r_min,mean,sd
20,10,0.55,115,0.1,-0.5,0.0256485659600307,0.138054724460247
20,10,0.55,120,0.1,-0.5,0.0253878987146357,0.140120527072172
20,10,0.6,100,0.1,-0.5,0.0219636653854214,0.136740644810024
20,10,0.6,105,0.1,-0.5,0.0235421732592971,0.136775051848566
20,10,0.6,110,0.1,-0.5,0.024746508312101,0.137444589011273
20,10,0.6,115,0.1,-0.5,0.0256207977744658,0.138325728557684
20,10,0.6,120,0.1,-0.5,0.025373271300834,0.140381680507659
20,15,0.4,100,0.1,-0.5,0.0217011602446382,0.13151537851438
20,15,0.4,105,0.1,-0.5,0.0233048374971067,0.131550587647521
20,15,0.4,110,0.1,-0.5,0.0244818362696657,0.132231893430704
20,15,0.4,115,0.1,-0.5,0.0251618153292919,0.133383813886282
20,15,0.4,120,0.1,-0.5,0.0250264715121871,0.135334656686779
20,15,0.45,100,0.1,-0.5,0.0217848822675707,0.131406176573878
20,15,0.45,105,0.1,-0.5,0.0234028986658171,0.131464355327961
20,15,0.45,110,0.1,-0.5,0.0245584903921584,0.132186598693381
20,15,0.45,115,0.1,-0.5,0.0252224991824804,0.133356268631766
20,15,0.45,120,0.1,-0.5,0.0250520514802545,0.135390545211463
20,15,0.5,100,0.1,-0.5,0.0218440052394029,0.131233524530147
20,15,0.5,105,0.1,-0.5,0.0234977064126089,0.131230443684071
20,15,0.5,110,0.1,-0.5,0.0246499411501405,0.131993763904014
20,15,0.5,115,0.1,-0.5,0.0252335187507336,0.133257197368375
20,15,0.5,120,0.1,-0.5,0.0250116388012433,0.13535722335301
20,15,0.55,100,0.1,-0.5,0.0219409812667282,0.1309843242481
20,15,0.55,105,0.1,-0.5,0.0236061524222655,0.130988777135418
20,15,0.55,110,0.1,-0.5,0.0247057607509543,0.131808311773887
20,15,0.55,115,0.1,-0.5,0.025241804631228,0.133106855851481
20,15,0.55,120,0.1,-0.5,0.0249541094262558,0.135269947316321
20,15,0.6,100,0.1,-0.5,0.0220652617233943,0.130997693763071
20,15,0.6,105,0.1,-0.5,0.0238313650237835,0.130920720604387
20,15,0.6,110,0.1,-0.5,0.0248326603093393,0.131848067442529
20,15,0.6,115,0.1,-0.5,0.0253240069779742,0.13318802562154
20,15,0.6,120,0.1,-0.5,0.0250139175662014,0.13538345823301
20,20,0.4,100,0.1,-0.5,0.0219238854824541,0.131054578020973
20,20,0.4,105,0.1,-0.5,0.0234263099040036,0.13125962904004
20,20,0.4,110,0.1,-0.5,0.0242878249247715,0.132283658733773
20,20,0.4,115,0.1,-0.5,0.0249909841418481,0.133405810484228
20,20,0.4,120,0.1,-0.5,0.0247058018634115,0.135575929538136
20,20,0.45,100,0.1,-0.5,0.0220391543677192,0.130852318334889
20,20,0.45,105,0.1,-0.5,0.0236244598438214,0.130975152062711
20,20,0.45,110,0.1,-0.5,0.0244578533231878,0.13205537462576
20,20,0.45,115,0.1,-0.5,0.0251185727048735,0.133279233944587
20,20,0.45,120,0.1,-0.5,0.0247918009701255,0.135543971231467
20,20,0.5,100,0.1,-0.5,0.02219127463225,0.130678723206319
20,20,0.5,105,0.1,-0.5,0.0237635112358779,0.130840242534763
20,20,0.5,110,0.1,-0.5,0.0246169245510988,0.131924505762557
20,20,0.5,115,0.1,-0.5,0.0252080497044224,0.133218687884621
20,20,0.5,120,0.1,-0.5,0.0247900126617317,0.135603797364807
20,20,0.55,100,0.1,-0.5,0.0222863203655264,0.130532164808232
20,20,0.55,105,0.1,-0.5,0.0238672251791874,0.130720319754973
20,20,0.55,110,0.1,-0.5,0.0247100354726991,0.131825666191557
20,20,0.55,115,0.1,-0.5,0.0251871918756585,0.133230219435369
20,20,0.55,120,0.1,-0.5,0.0247380284461379,0.135646121445195
20,20,0.6,100,0.1,-0.5,0.0226260323809146,0.130242468285674
20,20,0.6,105,0.1,-0.5,0.0243026516143412,0.130383899009943
20,20,0.6,110,0.1,-0.5,0.0250781584992074,0.131543973678878
20,20,0.6,115,0.1,-0.5,0.0255242445129591,0.132978607364505
20,20,0.6,120,0.1,-0.5,0.0250703606620535,0.135447925084346
20,25,0.4,100,0.1,-0.5,0.022148042811708,0.130674887637781
20,25,0.4,105,0.1,-0.5,0.0234378749718725,0.131159399141757
20,25,0.4,110,0.1,-0.5,0.0243558513237509,0.132145999120767
20,25,0.4,115,0.1,-0.5,0.0249052858506011,0.133455171663897
20,25,0.4,120,0.1,-0.5,0.024589776023274,0.135672659293354
20,25,0.45,100,0.1,-0.5,0.022371497220363,0.130398949180502
20,25,0.45,105,0.1,-0.5,0.0237309808943379,0.130831313018292
20,25,0.45,110,0.1,-0.5,0.0245974863877738,0.13185358336275
20,25,0.45,115,0.1,-0.5,0.0250625689195097,0.133281985776579
20,25,0.45,120,0.1,-0.5,0.0247340732067046,0.135553045064012
20,25,0.5,100,0.1,-0.5,0.0226755689118166,0.130080283901065
20,25,0.5,105,0.1,-0.5,0.0240478692154106,0.130538728016961
20,25,0.5,110,0.1,-0.5,0.024913712915645,0.13157241844715
20,25,0.5,115,0.1,-0.5,0.0252905907969902,0.133097277598001
20,25,0.5,120,0.1,-0.5,0.0248706106137686,0.135491010401169
20,25,0.55,100,0.1,-0.5,0.0226162265942194,0.130151171573374
20,25,0.55,105,0.1,-0.5,0.0240254024745665,0.130613061369911
20,25,0.55,110,0.1,-0.5,0.0248538651948796,0.131714368807183
20,25,0.55,115,0.1,-0.5,0.0251333599439694,0.133346594692621
20,25,0.55,120,0.1,-0.5,0.0247000793836259,0.1357554250225
20,25,0.6,100,0.1,-0.5,0.0227043232508515,0.130096579373555
20,25,0.6,105,0.1,-0.5,0.0242179402090928,0.130481739426386
20,25,0.6,110,0.1,-0.5,0.0249659201645968,0.131630849234394
20,25,0.6,115,0.1,-0.5,0.0252429510986831,0.133291979464532
20,25,0.6,120,0.1,-0.5,0.0248404845397571,0.135731372354524
20,30,0.4,100,0.1,-0.5,0.0228112082991267,0.130184234274441
20,30,0.4,105,0.1,-0.5,0.0242127623210609,0.130512479092716
20,30,0.4,110,0.1,-0.5,0.0248743821646655,0.1318283902489
20,30,0.4,115,0.1,-0.5,0.0255308395808848,0.132989949160715
20,30,0.4,120,0.1,-0.5,0.0251346709663051,0.135350380634482
20,30,0.45,100,0.1,-0.5,0.0228950413115237,0.130121279392912
20,30,0.45,105,0.1,-0.5,0.024398158050891,0.130384746126801
20,30,0.45,110,0.1,-0.5,0.0250218619643423,0.131718439084679
20,30,0.45,115,0.1,-0.5,0.0255483369664324,0.133071851248963
20,30,0.45,120,0.1,-0.5,0.0251973531941172,0.135413852756855
20,30,0.5,100,0.1,-0.5,0.0233358256961653,0.129677216662884
20,30,0.5,105,0.1,-0.5,0.0247944629658795,0.130037072867409
20,30,0.5,110,0.1,-0.5,0.0253919046172995,0.131391082356998
20,30,0.5,115,0.1,-0.5,0.0258346733954241,0.132849379109116
20,30,0.5,120,0.1,-0.5,0.0254717261306214,0.135215178268749
20,30,0.55,100,0.1,-0.5,0.0232303337345783,0.1299336307953
20,30,0.55,105,0.1,-0.5,0.0246960623226675,0.13031469935961
20,30,0.55,110,0.1,-0.5,0.0251986837097494,0.131752641617055
20,30,0.55,115,0.1,-0.5,0.0255412100479568,0.133328460063937
20,30,0.55,120,0.1,-0.5,0.0251338621383802,0.135734206656812
20,30,0.6,100,0.1,-0.5,0.0232081589434126,0.129886135977188
20,30,0.6,105,0.1,-0.5,0.0247827681410248,0.130181122211345
20,30,0.6,110,0.1,-0.5,0.0252277385460985,0.131683642174037
20,30,0.6,115,0.1,-0.5,0.0255367530323552,0.133325410840075
20,30,0.6,120,0.1,-0.5,0.0251842439110442,0.135724202460934
20,35,0.4,100,0.1,-0.5,0.0227908293613665,0.130144611116275
20,35,0.4,105,0.1,-0.5,0.0240783247231191,0.130628154650453
20,35,0.4,110,0.1,-0.5,0.0247506210172854,0.131907125652674
20,35,0.4,115,0.1,-0.5,0.025324397386551,0.133228423442972
20,35,0.4,120,0.1,-0.5,0.0252942022770438,0.135058043548044
20,35,0.45,100,0.1,-0.5,0.0228911628308309,0.130005494953846
20,35,0.45,105,0.1,-0.5,0.0242575688656976,0.130440523005374
20,35,0.45,110,0.1,-0.5,0.0249326759286816,0.131720645155371
20,35,0.45,115,0.1,-0.5,0.0254011663921483,0.133221884562715
20,35,0.45,120,0.1,-0.5,0.0253932859548467,0.135062352486461
20,35,0.5,100,0.1,-0.5,0.0231500552421737,0.129730167335793
20,35,0.5,105,0.1,-0.5,0.0244844603730635,0.130217464672615
20,35,0.5,110,0.1,-0.5,0.0251152444437981,0.131560463257144
20,35,0.5,115,0.1,-0.5,0.0255425478550107,0.13314750086467
20,35,0.5,120,0.1,-0.5,0.0255107922977995,0.134998260447097
20,35,0.55,100,0.1,-0.5,0.0231482808495872,0.129861856016361
20,35,0.55,105,0.1,-0.5,0.024499746019813,0.130367900031105
20,35,0.55,110,0.1,-0.5,0.0250535650434126,0.131822746047848
20,35,0.55,115,0.1,-0.5,0.0254324027650104,0.133447682779871
20,35,0.55,120,0.1,-0.5,0.0253928366967906,0.135295666402741
20,35,0.6,100,0.1,-0.5,0.0231819995617196,0.129860444659624
20,35,0.6,105,0.1,-0.5,0.0246399723133898,0.130250737206924
20,35,0.6,110,0.1,-0.5,0.0251002262177331,0.131786035304586
20,35,0.6,115,0.1,-0.5,0.0254844721920771,0.133416877151583
20,35,0.6,120,0.1,-0.5,0.0255082127339247,0.135258696774135
20,40,0.4,100,0.1,-0.5,0.022811156598999,0.130075928281482
20,40,0.4,105,0.1,-0.5,0.0239666294867786,0.130722755258891
20,40,0.4,110,0.1,-0.5,0.0246618804933895,0.132043681977262
20,40,0.4,115,0.1,-0.5,0.0254894309661178,0.133017564423076
20,40,0.4,120,0.1,-0.5,0.0254360705907407,0.134911027257475
20,40,0.45,100,0.1,-0.5,0.0229631418938528,0.130064406879244
20,40,0.45,105,0.1,-0.5,0.0241688462190116,0.130671187250533
20,40,0.45,110,0.1,-0.5,0.024901126560357,0.131965206087113
20,40,0.45,115,0.1,-0.5,0.0256327940279862,0.133050614048053
20,40,0.45,120,0.1,-0.5,0.025648201856746,0.134900108734988
20,40,0.5,100,0.1,-0.5,0.0232095948548807,0.129758729082953
20,40,0.5,105,0.1,-0.5,0.0244037561935747,0.130422313574874
20,40,0.5,110,0.1,-0.5,0.0251339336624533,0.131728932732802
20,40,0.5,115,0.1,-0.5,0.0258701197606985,0.13284904171562
20,40,0.5,120,0.1,-0.5,0.0258442901496976,0.134742927047724
20,40,0.55,100,0.1,-0.5,0.0232919855844394,0.129931262204067
20,40,0.55,105,0.1,-0.5,0.0245238010827182,0.130554247750263
20,40,0.55,110,0.1,-0.5,0.0252368135274815,0.131880906269211
20,40,0.55,115,0.1,-0.5,0.0258743875696667,0.133099153761933
20,40,0.55,120,0.1,-0.5,0.0258492626598457,0.134987811431354
20,40,0.6,100,0.1,-0.5,0.0229720434235018,0.130223931212424
20,40,0.6,105,0.1,-0.5,0.0243260277380568,0.130734918491842
20,40,0.6,110,0.1,-0.5,0.0249614261271458,0.132152515443904
20,40,0.6,115,0.1,-0.5,0.0256398883845155,0.133381561767058
20,40,0.6,120,0.1,-0.5,0.0257258826278921,0.135204909608077
20,45,0.4,100,0.1,-0.5,0.0224294726718293,0.130358471602304
20,45,0.4,105,0.1,-0.5,0.023567047134415,0.13106031598812
20,45,0.4,110,0.1,-0.5,0.0244619329306041,0.13212345618431
20,45,0.4,115,0.1,-0.5,0.0253303295977757,0.133042773445667
20,45,0.4,120,0.1,-0.5,0.0253418322697286,0.134860485649829
20,45,0.45,100,0.1,-0.5,0.0225939981717558,0.130210115431281
20,45,0.45,105,0.1,-0.5,0.0237752287602421,0.130902718486709
20,45,0.45,110,0.1,-0.5,0.0247384355759262,0.131875817263603
20,45,0.45,115,0.1,-0.5,0.0255323109248545,0.13289068807405
20,45,0.45,120,0.1,-0.5,0.0256059357380182,0.134687092910928
20,45,0.5,100,0.1,-0.5,0.0229533654922759,0.12994703366349
20,45,0.5,105,0.1,-0.5,0.0241524881115832,0.130649229364669
20,45,0.5,110,0.1,-0.5,0.0251458047120628,0.131585611869025
20,45,0.5,115,0.1,-0.5,0.0259403983375185,0.132648406849493
20,45,0.5,120,0.1,-0.5,0.025995655647125,0.134423936381202
20,45,0.55,100,0.1,-0.5,0.0230268222529942,0.130174103518784
20,45,0.55,105,0.1,-0.5,0.0242823009691534,0.130793490249997
20,45,0.55,110,0.1,-0.5,0.0252912892163248,0.131695454782234
20,45,0.55,115,0.1,-0.5,0.0259907574333642,0.132816695385574
20,45,0.55,120,0.1,-0.5,0.0260463605733476,0.134617181264394
20,45,0.6,100,0.1,-0.5,0.0228403412055206,0.130322212757676
20,45,0.6,105,0.1,-0.5,0.0242110920520517,0.130863424414787
20,45,0.6,110,0.1,-0.5,0.0251769932886359,0.131797984274671
20,45,0.6,115,0.1,-0.5,0.0258865635016483,0.132968422400338
20,45,0.6,120,0.1,-0.5,0.0260819840974014,0.134645401655623
20,50,0.4,100,0.1,-0.5,0.0224656778124441,0.130471189723452
20,50,0.4,105,0.1,-0.5,0.0237223211593302,0.130993508561283
20,50,0.4,110,0.1,-0.5,0.0246234403083519,0.132049113924666
20,50,0.4,115,0.1,-0.5,0.0255815747634912,0.132909460667179
20,50,0.4,120,0.1,-0.5,0.0255595930273145,0.134732751147462
20,50,0.45,100,0.1,-0.5,0.0226472614668394,0.130313236248523
20,50,0.45,105,0.1,-0.5,0.0240039199220569,0.130758828831574
20,50,0.45,110,0.1,-0.5,0.0249819060014044,0.131730709698895
20,50,0.45,115,0.1,-0.5,0.0258801073406989,0.132673677977803
20,50,0.45,120,0.1,-0.5,0.0258785644959682,0.134542257590631
20,50,0.5,100,0.1,-0.5,0.0230383010310377,0.130025906272027
20,50,0.5,105,0.1,-0.5,0.0244573464780481,0.130438240229686
20,50,0.5,110,0.1,-0.5,0.025454491514043,0.131376200091134
20,50,0.5,115,0.1,-0.5,0.0263491130669423,0.132375164324371
20,50,0.5,120,0.1,-0.5,0.0263544797915272,0.134177481287442
20,50,0.55,100,0.1,-0.5,0.0232567816910627,0.130065021647507
