t_adx,t_cci,x_thr,t_max,r_max,r_min,mean,sd,t_mean,t_sd
5,60,0.65,115,0.09,-0.5,0.0254803782820288,0.125401618127899,51.5857196661361,44.4690915437095
5,60,0.65,120,0.09,-0.5,0.0255714082630476,0.126969511258187,52.8081239133871,46.2772356428377
5,60,0.65,125,0.09,-0.5,0.0267777274798828,0.127026289266646,53.7691800717651,47.9754638709035
5,60,0.7,110,0.09,-0.5,0.0250917264109067,0.12434361743184,50.2924000110868,42.6824902041398
5,60,0.7,115,0.09,-0.5,0.0256321743151483,0.125452861658679,51.4487386085797,44.4751530995821
5,60,0.7,120,0.09,-0.5,0.0256426084988263,0.127086731251656,52.674747362422,46.2845282324944
5,60,0.7,125,0.09,-0.5,0.0268654600748039,0.127146936980614,53.6282532549994,47.9799556062355
5,60,0.75,110,0.09,-0.5,0.0252242918876928,0.124105789439701,50.2193262926719,42.7325044619526
5,60,0.75,115,0.09,-0.5,0.0257679451209423,0.125232606764322,51.3837401268937,44.5288904583192
5,60,0.75,120,0.09,-0.5,0.0256979891028311,0.126961081637523,52.620587473282,46.3432779236935
5,60,0.75,125,0.09,-0.5,0.0270273091385864,0.12686788052377,53.5764935381614,48.0403885812042
5,65,0.45,110,0.09,-0.5,0.0235002876160448,0.124885555019596,51.1206344340193,42.842513201331
5,65,0.45,115,0.09,-0.5,0.0241785450190976,0.125910091684688,52.2834220704611,44.6482240641747
5,65,0.45,120,0.09,-0.5,0.0243663244734646,0.127350509580417,53.5057195631744,46.4645627080825
5,65,0.45,125,0.09,-0.5,0.0255113614676243,0.127599837269082,54.5083390933116,48.189114933154
5,65,0.5,110,0.09,-0.5,0.0238036426703604,0.124773969447692,50.9831544530528,42.814262623097
5,65,0.5,115,0.09,-0.5,0.0244516849889813,0.125812373038894,52.1411641003707,44.6157778681842
5,65,0.5,120,0.09,-0.5,0.0246330111187739,0.127296348971323,53.3587767191236,46.428336742949
5,65,0.5,125,0.09,-0.5,0.0258024038303821,0.127488430176541,54.3419761047522,48.1429499331158
5,65,0.55,110,0.09,-0.5,0.0234474967826793,0.135966845693456,50.9824474757751,42.829490958118
5,65,0.55,115,0.09,-0.5,0.0240847000333113,0.136987235778121,52.1485810509633,44.6345480072153
5,65,0.55,120,0.09,-0.5,0.0242152112594255,0.138400447800548,53.3771541893902,46.4521415147988
5,65,0.55,125,0.09,-0.5,0.0254246148541662,0.138584358181156,54.3574585855368,48.1671274660204
5,65,0.6,110,0.09,-0.5,0.0242837525523039,0.136630784157245,50.6726656668333,42.7782712713671
5,65,0.6,115,0.09,-0.5,0.0249216276731565,0.137604619561474,51.8317794486216,44.576166446531
5,65,0.6,120,0.09,-0.5,0.0249784416944797,0.139137101293168,53.0544629518139,46.3872951670588
5,65,0.6,125,0.09,-0.5,0.0261825680138201,0.139297942902936,54.0304193573659,48.0947590260844
5,65,0.65,110,0.09,-0.5,0.0246329117090105,0.124365915549644,50.5166746732067,42.784421973205
5,65,0.65,115,0.09,-0.5,0.0252038332625074,0.125497957942497,51.6755472185959,44.5800045669016
5,65,0.65,120,0.09,-0.5,0.0252797930837969,0.127129111159661,52.8999961946802,46.3898273177165
5,65,0.65,125,0.09,-0.5,0.0265182914876808,0.127156484418559,53.8564442180336,48.0877898831648
5,65,0.7,110,0.09,-0.5,0.0250244190977603,0.124207558791225,50.3471933169362,42.7700242277094
5,65,0.7,115,0.09,-0.5,0.0255205644471145,0.125383428357284,51.5106569215283,44.5659457700783
5,65,0.7,120,0.09,-0.5,0.0254778796335164,0.127130773728704,52.7422561527457,46.377999035051
5,65,0.7,125,0.09,-0.5,0.0266950302590983,0.12722616974153,53.6934486296351,48.0734545362677
5,65,0.75,110,0.09,-0.5,0.0249959987675787,0.123992904082624,50.3275962261571,42.8416687695356
5,65,0.75,115,0.09,-0.5,0.0254802212673462,0.125233322949568,51.4978070926846,44.6428641700606
5,65,0.75,120,0.09,-0.5,0.0253723191681033,0.127076849256163,52.7420897466662,46.4619088450475
5,65,0.75,125,0.09,-0.5,0.0266866278205383,0.127050352732461,53.6970364506247,48.1612954559544
10,50,0.45,110,0.09,-0.5,0.0234199359230939,0.125065236730567,51.2305250740467,42.7081903257388
10,50,0.45,115,0.09,-0.5,0.0242568299357255,0.125876590417709,52.377602969471,44.5051700075065
10,50,0.45,120,0.09,-0.5,0.0243403818035411,0.127484102712506,53.5900248908893,46.3149549333937
10,50,0.45,125,0.09,-0.5,0.02550921149729,0.127719172010558,54.5865184690813,48.0352350032584
10,50,0.5,110,0.09,-0.5,0.0237653691164767,0.124776955182971,51.1205997513407,42.6824775915952
10,50,0.5,115,0.09,-0.5,0.0246101434994234,0.125624322322535,52.2590286309989,44.4746403913743
10,50,0.5,120,0.09,-0.5,0.0246845202479184,0.12724082519716,53.477725286296,46.2848968875238
10,50,0.5,125,0.09,-0.5,0.025836133408627,0.127451571629433,54.4584896305928,47.9966228005623
10,50,0.55,110,0.09,-0.5,0.0238465782324088,0.124839219216271,51.0617377580093,42.6874021466332
10,50,0.55,115,0.09,-0.5,0.0246833458846229,0.125673863269432,52.2065605115184,44.4803334690166
10,50,0.55,120,0.09,-0.5,0.0247305618972203,0.127317136334065,53.4283038865622,46.2905477916618
10,50,0.55,125,0.09,-0.5,0.0259026579225657,0.127496461787544,54.3957452963724,47.9960392913242
10,50,0.6,110,0.09,-0.5,0.0242295969213487,0.124764165524603,50.8189565937478,42.667685748849
10,50,0.6,115,0.09,-0.5,0.0250356724465129,0.125597930758472,51.9572023486797,44.4568490785985
10,50,0.6,120,0.09,-0.5,0.0251402249563047,0.127175210257999,53.1720976420868,46.2635527537593
10,50,0.6,125,0.09,-0.5,0.0264044522066076,0.127181636495549,54.1307216064555,47.9630718646867
10,50,0.65,110,0.09,-0.5,0.0241277104626976,0.139256102628611,50.6569364048555,42.6398180296931
10,50,0.65,115,0.09,-0.5,0.0249949656839741,0.139997252539491,51.7928684689879,44.426706133151
10,50,0.65,120,0.09,-0.5,0.0250499832110373,0.141486775185263,53.0107416879795,46.2335963963452
10,50,0.65,125,0.09,-0.5,0.0264152240085995,0.141430616532931,53.9508192402929,47.9240579952759
10,50,0.7,110,0.09,-0.5,0.0243933456152451,0.141248638774287,50.4839764452989,42.6184144814738
10,50,0.7,115,0.09,-0.5,0.0250969650630121,0.142132835519871,51.6262712121672,44.4057836477903
10,50,0.7,120,0.09,-0.5,0.0250926872675183,0.143679795558355,52.8388527678192,46.2093681366543
10,50,0.7,125,0.09,-0.5,0.0264455800561355,0.143620412903449,53.7713501144165,47.8951019658222
10,50,0.75,110,0.09,-0.5,0.0242605780667594,0.1441155696624,50.364104850214,42.6413221863475
10,50,0.75,115,0.09,-0.5,0.0248455028845166,0.145132967358157,51.5147576738116,44.4345319856878
10,50,0.75,120,0.09,-0.5,0.0248039529888313,0.146690582032262,52.7357818845376,46.244739596675
10,50,0.75,125,0.09,-0.5,0.026246515725331,0.146603967894561,53.6625161707633,47.9302442187112
10,55,0.45,110,0.09,-0.5,0.0235356128948647,0.12482745593966,51.2074869109948,42.7248363207765
10,55,0.45,115,0.09,-0.5,0.0243899875572553,0.125640237601354,52.3493508653669,44.5215094113167
10,55,0.45,120,0.09,-0.5,0.024439875574795,0.12727429765176,53.5762661361704,46.3373933647227
10,55,0.45,125,0.09,-0.5,0.0255847310489417,0.127575474205622,54.571963932263,48.0581201564406
10,55,0.5,110,0.09,-0.5,0.0238846174500913,0.124674928092584,51.0291053716038,42.6967188475126
10,55,0.5,115,0.09,-0.5,0.0247200752779835,0.125556170288823,52.1661026400292,44.4890864555972
10,55,0.5,120,0.09,-0.5,0.024774743890484,0.127166043993689,53.3930252028061,46.3021981039533
10,55,0.5,125,0.09,-0.5,0.0258819889050353,0.12742566711734,54.3816432586983,48.0171257860156
10,55,0.55,110,0.09,-0.5,0.0240051886401953,0.124741408715392,50.9430959224955,42.6907402260199
10,55,0.55,115,0.09,-0.5,0.0247845371588096,0.125673359249195,52.0927843857439,44.4856188225649
